,seller_id
41989,706
42010,1287
42027,1768
42035,2040
42042,2218
42075,3087
42078,3192
42089,3684
42093,3793
42097,3913
42115,4258
42119,4278
42127,4436
42168,5518
42222,6757
42231,7059
42232,7078
42238,7225
42244,7288
42252,7474
42259,7721
42284,8420
42287,8468
42288,8477
42299,8896
42312,9352
42316,9377
42328,9513
42358,10459
42372,10944
42378,11095
42380,11172
42396,11661
42397,11683
42402,11844
42408,12084
42426,12674
42432,12795
42438,13056
42449,13460
42453,13769
42461,14038
42462,14050
42483,14469
42500,14808
42505,15138
42507,15163
42510,15283
42521,15550
42522,15552
42529,15685
42530,15699
42533,15789
42539,16034
42566,16589
42582,17061
42584,17084
42589,17278
42591,17318
42598,17403
42609,17641
42620,18145
42631,18574
42643,18984
42652,19137
42654,19163
42655,19174
42656,19202
42661,19309
42662,19312
42665,19457
42697,20255
42700,20323
42709,20587
42732,21077
42733,21080
42741,21360
42768,22011
42772,22171
42778,22371
42783,22434
42796,22763
42813,23338
42835,23891
42857,24526
42860,24588
42870,24727
42874,24905
42877,24972
42878,25009
42882,25114
42902,26045
42913,26301
42929,26657
42946,26955
42949,27020
42959,27268
42964,27360
42967,27425
42970,27534
42999,28133
43007,28254
43012,28306
43016,28374
43017,28381
43018,28396
43061,29493
43063,29589
43066,29683
43072,29793
43074,29924
43083,30096
43084,30122
43092,30284
43103,30726
43105,30803
43120,31050
43124,31104
43125,31105
43128,31138
43152,31678
43156,31714
43167,31920
43193,32181
43201,32293
43207,32417
43209,32441
43223,32722
43236,32927
43255,33328
43260,33436
43261,33437
43264,33458
43266,33523
43279,33729
43285,33859
43292,33991
43295,34042
43297,34062
43300,34139
43301,34173
43304,34281
43306,34327
43313,34368
43314,34419
43315,34429
43316,34440
43317,34448
43319,34473
43323,34493
43333,34695
43335,34763
43341,34976
43345,35022
43356,35299
43357,35314
43369,35722
43383,36112
43389,36204
43392,36254
43397,36363
43409,36821
43421,37025
43424,37118
43439,37518
43440,37522
43452,37848
43454,37882
43462,38237
43472,38323
43492,38721
43496,38768
43501,38886
43506,39019
43512,39119
43519,39364
43523,39452
43535,39783
43536,39794
43547,39990
43561,40310
43585,40748
43604,41069
43608,41143
43613,41237
43636,41750
43639,41772
43645,41919
43647,41944
43667,42274
43681,42529
43685,42658
43686,42660
43696,42841
43699,42907
43703,42932
43715,43158
43717,43218
43732,43534
43776,44294
43778,44322
43786,44397
43789,44415
43794,44445
43801,44516
43805,44550
43807,44595
43816,44679
43817,44680
43825,44802
43827,44834
43833,44970
43839,45066
43840,45079
43852,45238
43856,45304
43874,45507
43875,45539
43880,45589
43886,45697
43887,45722
43890,45742
43898,45827
43901,45842
43908,45925
43940,46254
43946,46336
43947,46341
43949,46355
43956,46452
43961,46519
43966,46538
43967,46541
43969,46588
43974,46699
43976,46764
43979,46776
43983,46870
43984,46880
43987,46919
43988,46943
43996,47028
44002,47106
44005,47118
44007,47138
44013,47203
44018,47235
44019,47242
44022,47278
44050,47645
44051,47651
44053,47667
44056,47702
44057,47708
44063,47735
44067,47780
44093,48133
44111,48333
44116,48388
44125,48462
44134,48533
44136,48541
44142,48592
44143,48594
44153,48699
44176,48918
44178,48935
44184,48989
44192,49031
44201,49132
44206,49171
44211,49182
44213,49255
44237,49509
44240,49547
44245,49605
44253,49688
44262,49792
44272,49898
44275,49934
44279,50004
44286,50040
44289,50053
44291,50059
44302,50125
44306,50145
44307,50146
44311,50164
44312,50168
44327,50266
44328,50269
44332,50288
44340,50315
44341,50317
44343,50325
44357,50410
44364,50433
44366,50446
44367,50449
44368,50452
44370,50455
44377,50486
44380,50496
44388,50539
44391,50560
44394,50573
44396,50578
44407,50625
44419,50662
44427,50700
44440,50763
44456,50843
44464,50900
44473,50967
44474,50977
44484,51052
44513,51167
44526,51253
44542,51346
