,id,user_id_x,trade_id_x,discount_rate,is_top,is_auto_top,is_available,create_time_x,id_x,user_id_y,receiver_user_id,trade_id_y,receiver_trade_id,proof_file_name,status,cipher,is_dealer_verified,is_skip_verify,create_time_y,prove_time,date,id_y,buying_currency,selling_amount
0,796,5510,272424,50,1,1,0,1609499621,182802,40849,5510,273182,272424,sf_1609501365,40,churchs,0,0,1609501281,1609516742.0,21/01,272424,CNY,243.0
1,797,40736,272538,50,1,1,0,1609564836,183060,47384,40736,273486,272538,,40,hogan,0,0,1609569129,1609634103.0,21/01,272538,CNY,219.0
2,798,55857,272763,100,1,1,0,1609582338,183137,49303,55857,273570,272763,,40,rockport,0,0,1609598844,1609624412.0,21/01,272763,CNY,130.0
3,799,47745,272852,50,1,1,0,1609638741,183223,20525,47745,273675,272852,sf_1609639633,40,benjara,0,0,1609639616,1609639761.0,21/01,272852,CNY,201.0
4,800,56167,272869,50,0,1,0,1609643448,183261,47384,56167,273714,272869,,40,khaite,0,0,1609644280,1609644459.0,21/01,272869,CNY,218.0
5,801,55765,273535,20,1,1,0,1609643566,183159,52556,55765,273079,273535,sf_1609607384,40,fantasie,0,0,1609607368,1609608243.0,21/01,273535,CNY,1993.0
6,801,55765,273535,20,1,1,0,1609643566,183308,41767,55765,273764,273535,sf_1609667460,40,herschel,0,0,1609653825,1609718702.0,21/01,273535,CNY,1993.0
7,802,39041,272775,50,1,1,0,1609649860,183319,6982,39041,273790,272775,sf_1609656383,40,surfing,0,0,1609656371,1609659305.0,21/01,272775,CNY,153.0
8,803,53977,273068,20,1,1,0,1609651699,183349,38190,53977,273829,273068,sf_1609664971,40,clinique,0,0,1609664908,1609695433.0,21/01,273068,CNY,300.0
9,804,27534,272977,30,0,1,0,1609653017,183345,55220,27534,273826,272977,sf_1609663643,40,boba,0,0,1609663633,1609696316.0,21/01,272977,CNY,237.0
10,805,54417,273487,50,1,1,0,1609726113,183505,47384,54417,274032,273487,,40,guerlain,0,0,1609728270,1609779068.0,21/01,273487,CNY,165.0
11,807,49031,273556,20,1,1,0,1609733738,183580,51453,49031,274107,273556,sf_1609735040,40,adidas,0,0,1609734670,1609736792.0,21/01,273556,CNY,265.0
12,808,26867,273434,30,1,1,0,1609742513,183631,49497,26867,274167,273434,sf_1609743637,40,osti,0,0,1609743579,1609808406.0,21/01,273434,CNY,239.0
13,809,51741,273472,20,1,1,0,1609745612,183771,49303,51741,274333,273472,,40,rochas,0,0,1609799361,1609799379.0,21/01,273472,CNY,241.0
14,811,47745,273678,100,1,1,0,1609814333,183891,49497,47745,274481,273678,sf_1609820673,40,dolcevita,0,0,1609820622,1609821769.0,21/01,273678,CNY,100.0
15,812,7190,273922,100,1,1,0,1609907831,184222,34173,7190,274889,273922,sf_1609909837,40,lorell,0,0,1609909804,1609941976.0,21/01,273922,CNY,100.0
16,814,45749,274749,20,1,1,0,1610070874,184769,34173,45749,275559,274749,sf_1610071814,40,daytrip,0,0,1610071798,1610101519.0,21/01,274749,CNY,202.0
17,815,48674,274638,30,1,1,0,1610072447,184117,46919,48674,274549,274638,sf_1609891656,40,laptop,0,0,1609891635,1609932440.0,21/01,274638,CNY,1548.0
18,816,37522,275108,20,1,1,0,1610162024,185084,41092,37522,275954,275108,sf_1610167217,40,mercana,0,0,1610167114,1610168323.0,21/01,275108,CNY,184.0
19,817,8528,275153,100,0,1,0,1610162114,185070,35299,8528,275936,275153,,40,hanro,0,0,1610163077,1610163173.0,21/01,275153,CNY,130.0
20,819,40871,275132,100,0,1,0,1610172640,185122,1357,40871,275994,275132,,40,volcom,0,0,1610173222,1610173719.0,21/01,275132,CNY,149.0
21,820,49900,275092,50,1,1,0,1610177705,185148,40849,49900,276019,275092,sf_1610179869,40,brahmin,0,0,1610179820,1610180059.0,21/01,275092,CNY,166.0
22,822,56668,275985,50,1,1,0,1610253688,185443,49303,56668,276366,275985,,40,azzaro,0,0,1610293818,1610298146.0,21/01,275985,CNY,77.0
23,823,8242,275536,100,1,1,0,1610282219,185431,6436,8242,276354,275536,sf_1610288414,40,amazon,0,0,1610288260,1610297687.0,21/01,275536,CNY,100.0
24,827,25349,275789,100,1,1,0,1610337557,185590,49303,25349,276575,275789,,40,crocs,0,0,1610338714,1610338730.0,21/01,275789,CNY,96.0
25,828,15680,275953,40,1,1,0,1610364860,185677,12839,15680,276702,275953,sf_1610367353,40,miumiu,0,0,1610367338,1610369632.0,21/01,275953,CNY,201.0
26,829,17278,276013,50,1,1,0,1610370381,185706,56552,17278,276736,276013,sf_1610373541,40,ippolita,0,0,1610373527,1610374589.0,21/01,276013,CNY,130.0
27,830,32216,276323,50,1,1,0,1610418610,185866,56552,32216,276930,276323,sf_1610427434,40,zojirushi,0,0,1610427383,1610460285.0,21/01,276323,CNY,100.0
28,831,37522,275963,50,1,1,0,1610449888,185950,56807,37522,277029,275963,sf_1610459164,40,prada,0,0,1610458831,1610467756.0,21/01,275963,CNY,150.0
29,832,18081,276280,50,1,1,0,1610505164,186090,13410,18081,277202,276280,sf_1610505769,40,champion,0,0,1610505741,1610570703.0,21/01,276280,CNY,149.0
30,833,14074,276648,50,1,1,0,1610540038,186227,49303,14074,277373,276648,,40,frye,0,0,1610545866,1610610902.0,21/01,276648,CNY,106.0
31,835,44849,276665,100,1,1,0,1610591998,186372,55615,44849,277554,276665,sf_1610595497,40,crocs,0,0,1610595462,1610595515.0,21/01,276665,CNY,117.0
32,837,53402,277154,40,1,1,0,1610673044,186645,16127,53402,277885,277154,sf_1610677843,40,hue,0,0,1610677798,1610677835.0,21/01,277154,CNY,203.0
33,838,32441,277269,50,1,1,0,1610684892,186697,54845,32441,277952,277269,sf_1610685218,40,eastland,0,0,1610685198,1610687075.0,21/01,277269,CNY,207.0
34,841,53461,278609,40,1,1,0,1610850961,187289,47384,53461,278675,278609,,40,queenbee,1,0,1610854833,1610894610.0,21/01,278609,CNY,214.0
35,842,56688,278535,100,1,1,0,1610855263,187311,47904,56688,278696,278535,sf_1610859076,40,meebox,0,0,1610859061,1610859432.0,21/01,278535,CNY,100.0
36,843,56995,278265,100,1,1,0,1610855932,187343,47904,56995,278731,278265,sf_1610864494,40,benefit,0,0,1610864467,1610868228.0,21/01,278265,CNY,83.0
37,844,57073,278659,20,1,1,0,1610867429,188013,47539,57073,279564,278659,sf_1611113939,40,weekday,0,0,1611113924,1611178803.0,21/01,278659,CNY,375.0
38,845,57123,278548,100,1,1,0,1610870799,187432,18317,57123,278837,278548,sf_1610903744,40,keds,0,0,1610903714,1610907673.0,21/01,278548,CNY,59.0
39,846,36160,278063,50,1,1,0,1610886866,187469,54845,36160,278877,278063,sf_1610927528,40,hamilton,0,0,1610927514,1610928667.0,21/01,278063,CNY,93.0
40,848,57170,278828,100,1,1,0,1610901700,187484,29964,57170,278893,278828,sf_1610933588,40,roxy,0,0,1610933570,1610933703.0,21/01,278828,CNY,100.0
41,849,23274,278271,50,0,1,0,1610904207,187442,31518,23274,278847,278271,sf_1610912665,40,toys,0,0,1610912642,1610925725.0,21/01,278271,CNY,207.0
